"order_date","gmv","order_count","average_order_value","new_users","active_users_per_day"
"2016-10-03",559.53,7,79.93,7,7
"2016-10-04",9821.42,54,181.88,54,54
"2016-10-05",7209.5,35,205.99,35,35
"2016-10-06",6733.52,41,164.23,41,41
"2016-10-07",6832.76,38,179.81,37,38
"2016-10-08",8475.93,36,235.44,35,35
"2016-10-09",3037.32,20,151.87,20,20
"2016-10-10",3896.73,34,114.61,33,33
"2016-12-23",19.62,1,19.62,1,1
"2017-01-05",707.27,32,22.1,17,18
"2017-01-06",988.28,4,247.07,4,4
"2017-01-07",1447.99,4,362.0,4,4
"2017-01-08",507.85,4,126.96,4,4
"2017-01-09",774.51,5,154.9,5,5
"2017-01-10",1571.17,6,261.86,6,6
"2017-01-11",2098.78,10,209.88,10,10
"2017-01-12",1720.35,12,143.36,12,12
"2017-01-13",2712.86,10,271.29,10,10
"2017-01-14",1161.08,16,72.57,15,15
"2017-01-15",2551.34,14,182.24,13,13
"2017-01-16",3668.38,18,203.8,17,17
"2017-01-17",3893.61,32,121.68,31,31
"2017-01-18",3811.68,30,127.06,30,30
"2017-01-19",4140.16,29,142.76,28,28
"2017-01-20",4656.05,28,166.29,28,28
"2017-01-21",2897.86,22,131.72,20,20
"2017-01-22",4141.87,30,138.06,30,30
"2017-01-23",7221.59,36,200.6,35,36
"2017-01-24",5954.18,38,156.69,38,38
"2017-01-25",8196.05,57,143.79,57,57
"2017-01-26",14824.8,82,180.79,79,79
"2017-01-27",12458.14,59,211.15,58,58
"2017-01-28",5736.98,28,204.89,28,28
"2017-01-29",6593.76,32,206.06,31,31
"2017-01-30",11290.93,48,235.23,46,46
"2017-01-31",11818.15,64,184.66,61,62
"2017-02-01",8788.7,61,144.08,60,60
"2017-02-02",10342.54,67,154.37,67,67
"2017-02-03",10797.07,54,199.95,54,54
"2017-02-04",15320.15,64,239.38,64,64
"2017-02-05",10035.21,74,135.61,73,73
"2017-02-06",10893.73,78,139.66,76,76
"2017-02-07",16020.23,108,148.34,103,104
"2017-02-08",13517.96,83,162.87,82,83
"2017-02-09",10568.42,73,144.77,72,72
"2017-02-10",14492.58,63,230.04,63,63
"2017-02-11",5233.15,45,116.29,45,45
"2017-02-12",16389.82,61,268.69,61,61
"2017-02-13",12174.71,74,164.52,74,74
"2017-02-14",12363.65,66,187.33,65,65
"2017-02-15",7734.14,56,138.11,56,56
"2017-02-16",6842.42,49,139.64,48,49
"2017-02-17",8059.2,45,179.09,43,45
"2017-02-18",8456.59,52,162.63,50,50
"2017-02-19",4195.81,37,113.4,37,37
"2017-02-20",8318.07,59,140.98,58,59
"2017-02-21",8982.23,39,230.31,38,39
"2017-02-22",7024.96,53,132.55,51,51
"2017-02-23",7792.79,57,136.72,55,55
"2017-02-24",7779.2,60,129.65,58,60
"2017-02-25",4347.75,39,111.48,39,39
"2017-02-26",6101.02,42,145.26,42,42
"2017-02-27",6727.34,41,164.08,41,41
"2017-02-28",11999.210000000001,53,226.4,53,53
"2017-03-01",14190.98,93,152.59,89,92
"2017-03-02",12575.460000000001,66,190.54,66,66
"2017-03-03",13919.14,72,193.32,68,69
"2017-03-04",10024.79,69,145.29,66,66
"2017-03-05",8092.32,67,120.78,66,66
"2017-03-06",10605.15,94,112.82,94,94
"2017-03-07",13190.06,78,169.1,77,77
"2017-03-08",14778.27,73,202.44,73,73
"2017-03-09",13001.78,88,147.75,85,86
"2017-03-10",14005.74,84,166.73,81,81
"2017-03-11",12108.32,68,178.06,67,68
"2017-03-12",7711.89,63,122.41,61,61
"2017-03-13",18563.44,104,178.49,102,102
"2017-03-14",16171.19,95,170.22,95,95
"2017-03-15",16477.95,101,163.15,100,100
"2017-03-16",16467.91,100,164.68,100,100
"2017-03-17",13522.03,64,211.28,63,64
"2017-03-18",17593.329999999998,71,247.79,71,71
"2017-03-19",7728.08,56,138.0,56,56
"2017-03-20",19327.85,113,171.04,111,111
"2017-03-21",13166.64,92,143.12,90,90
"2017-03-22",16338.04,104,157.1,103,103
"2017-03-23",18402.829999999998,105,175.27,104,104
"2017-03-24",11554.39,75,154.06,72,73
"2017-03-25",10896.76,72,151.34,69,69
"2017-03-26",7356.91,63,116.78,63,63
"2017-03-27",18517.1,107,173.06,106,106
"2017-03-28",13533.91,96,140.98,95,95
"2017-03-29",9662.03,72,134.19,70,71
"2017-03-30",11172.34,72,155.17,71,72
"2017-03-31",13712.76,69,198.74,69,69
"2017-04-01",18862.37,66,285.79,63,63
"2017-04-02",10452.22,64,163.32,62,63
"2017-04-03",10300.27,68,151.47,68,68
"2017-04-04",14152.99,96,147.43,94,96
"2017-04-05",20080.09,93,215.91,90,90
"2017-04-06",20966.29,92,227.89,89,91
"2017-04-07",14605.91,82,178.12,79,80
"2017-04-08",9688.06,64,151.38,62,63
"2017-04-09",9077.65,68,133.49,64,65
"2017-04-10",13049.66,84,155.35,81,84
"2017-04-11",8420.13,73,115.34,72,73
"2017-04-12",8925.15,61,146.31,61,61
"2017-04-13",11216.11,60,186.94,58,59
"2017-04-14",7950.88,47,169.17,47,47
"2017-04-15",9225.82,49,188.28,49,49
"2017-04-16",6063.82,47,129.02,47,47
"2017-04-17",8628.01,58,148.76,56,58
"2017-04-18",23433.86,71,330.05,71,71
"2017-04-19",13527.61,93,145.46,92,92
"2017-04-20",14461.9,91,158.92,85,86
"2017-04-21",10101.02,66,153.05,66,66
"2017-04-22",14760.97,82,180.01,81,82
"2017-04-23",11506.54,84,136.98,82,83
"2017-04-24",15435.59,110,140.32,110,110
"2017-04-25",16145.47,106,152.32,104,106
"2017-04-26",18037.64,122,147.85,121,122
"2017-04-27",11475.53,75,153.01,75,75
"2017-04-28",17803.15,95,187.4,94,95
"2017-04-29",13307.91,70,190.11,67,70
"2017-04-30",9289.56,66,140.75,66,66
